strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,main_loaded_veh,main_arrived_veh,main_unfinished_veh,main_total_time_spent_s,main_total_wait_time_s,main_avg_wait_time_s,main_peak_queue_vehicles,side_loaded_veh,side_arrived_veh,side_unfinished_veh,side_total_time_spent_s,side_total_wait_time_s,side_avg_wait_time_s,side_peak_queue_vehicles,total_time_spent_s,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
cooperative_limited,1:3,800,89,0,89,89,139,100,100,0,5968.0,0.0,0.0,0,300,300,0,97552.0,48954.0,163.18,39,103520.0,200,600,400,400,400,0,0.2222222222222222,122.35,48954.0,0,258.8,103520.0,queue,4,1800.0,600.0,2400.0,140,0,0,400,400,0,0
cooperative_limited,1:3,800,87,0,87,87,161,100,100,0,6051.0,0.0,0.0,0,300,300,0,94831.0,44999.0,149.99666666666667,38,100882.0,200,600,400,400,400,0,0.2222222222222222,112.465,44999.0,0,252.205,100882.0,queue,5,1800.0,600.0,2400.0,116,0,0,400,400,0,0
uncontrolled,1:4,800,0,0,0,0,0,80,80,0,4826.0,0.0,0.0,0,320,320,0,20462.0,44.0,0.1375,1,25288.0,160,640,400,400,400,0,0.2222222222222222,0.11,44.0,0,63.22,25288.0,queue,1,1800.0,600.0,2400.0,1,0,0,400,400,0,0
uncontrolled,1:4,800,0,0,0,0,0,80,80,0,4830.0,0.0,0.0,0,320,320,0,20550.0,25.0,0.078125,1,25380.0,160,640,400,400,400,0,0.2222222222222222,0.0625,25.0,0,63.45,25380.0,queue,2,1800.0,600.0,2400.0,1,0,0,400,400,0,0
uncontrolled,1:4,800,0,0,0,0,0,80,80,0,4857.0,0.0,0.0,0,320,320,0,20619.0,54.0,0.16875,2,25476.0,160,640,400,400,400,0,0.2222222222222222,0.135,54.0,0,63.69,25476.0,queue,3,1800.0,600.0,2400.0,2,0,0,400,400,0,0
uncontrolled,1:4,800,0,0,0,0,0,80,80,0,4788.0,0.0,0.0,0,320,320,0,20390.0,32.0,0.1,1,25178.0,160,640,400,400,400,0,0.2222222222222222,0.08,32.0,0,62.945,25178.0,queue,4,1800.0,600.0,2400.0,1,0,0,400,400,0,0
uncontrolled,1:4,800,0,0,0,0,0,80,80,0,4840.0,0.0,0.0,0,320,320,0,20497.0,68.0,0.2125,1,25337.0,160,640,400,400,400,0,0.2222222222222222,0.17,68.0,0,63.3425,25337.0,queue,5,1800.0,600.0,2400.0,1,0,0,400,400,0,0
cooperative_limited,1:4,800,0,0,0,0,0,80,80,0,4826.0,0.0,0.0,0,320,320,0,20462.0,44.0,0.1375,1,25288.0,160,640,400,400,400,0,0.2222222222222222,0.11,44.0,0,63.22,25288.0,queue,1,1800.0,600.0,2400.0,1,0,0,400,400,0,0
cooperative_limited,1:4,800,0,0,0,0,0,80,80,0,4830.0,0.0,0.0,0,320,320,0,20550.0,25.0,0.078125,1,25380.0,160,640,400,400,400,0,0.2222222222222222,0.0625,25.0,0,63.45,25380.0,queue,2,1800.0,600.0,2400.0,1,0,0,400,400,0,0
cooperative_limited,1:4,800,0,0,0,0,0,80,80,0,4857.0,0.0,0.0,0,320,320,0,20619.0,54.0,0.16875,2,25476.0,160,640,400,400,400,0,0.2222222222222222,0.135,54.0,0,63.69,25476.0,queue,3,1800.0,600.0,2400.0,2,0,0,400,400,0,0
