strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,meter_release_interval_s,meter_activations,meter_active_time_s,meter_active_share,meter_releases,main_loaded_veh,main_departed_veh,main_arrived_veh,main_network_unfinished_veh,main_pending_veh_end,main_total_unfinished_veh,main_network_time_spent_s,main_insertion_wait_time_s,main_total_time_spent_s,main_stopped_time_s,main_avg_stopped_time_s,main_peak_network_queue_vehicles,main_peak_pending_vehicles,side_loaded_veh,side_departed_veh,side_arrived_veh,side_network_unfinished_veh,side_pending_veh_end,side_total_unfinished_veh,side_network_time_spent_s,side_insertion_wait_time_s,side_total_time_spent_s,side_stopped_time_s,side_avg_stopped_time_s,side_peak_network_queue_vehicles,side_peak_pending_vehicles,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,accounted_loaded_veh,loaded_reconciliation_error_veh,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:2,800,0,0,0,0,0,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7854.0,0.0,7854.0,0.0,0.0,0,0,267,267,267,0,0,0,100534.0,97522.0,198056.0,55309.0,207.1498127340824,49,114,108388.0,97522.0,205910.0,401,0,267,533,400,401,401,0,0.22277777777777777,137.90274314214463,55299.0,0,270.2942643391521,108388.0,queue,3,1800.0,600.0,2400.0,149,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7758.0,0.0,7758.0,0.0,0.0,0,0,267,267,267,0,0,0,99714.0,90626.0,190340.0,53701.0,201.12734082397003,44,109,107472.0,90626.0,198098.0,401,0,267,533,400,401,401,0,0.22277777777777777,133.88279301745635,53687.0,0,268.00997506234415,107472.0,queue,4,1800.0,600.0,2400.0,148,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7806.0,0.0,7806.0,0.0,0.0,0,0,267,267,267,0,0,0,98586.0,83848.0,182434.0,51951.0,194.57303370786516,41,104,106392.0,83848.0,190240.0,401,0,267,533,400,401,401,0,0.22277777777777777,129.5211970074813,51938.0,0,265.3167082294264,106392.0,queue,5,1800.0,600.0,2400.0,138,0,0,401,401,0,0
cooperative_limited,1:2,800,88,3,85,88,119,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7964.0,0.0,7964.0,0.0,0.0,0,0,267,267,267,0,0,0,98640.0,88805.0,187445.0,53695.0,201.10486891385767,46,109,106604.0,88805.0,195409.0,401,0,267,533,400,401,401,0,0.22277777777777777,133.86533665835412,53680.0,0,265.8453865336658,106604.0,queue,1,1800.0,600.0,2400.0,146,0,0,401,401,0,0
cooperative_limited,1:2,800,87,7,80,87,115,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7958.0,0.0,7958.0,0.0,0.0,0,0,267,267,267,0,0,0,100715.0,88206.0,188921.0,54233.0,203.1198501872659,47,106,108673.0,88206.0,196879.0,401,0,267,533,400,401,401,0,0.22277777777777777,135.22194513715712,54224.0,0,271.00498753117205,108673.0,queue,2,1800.0,600.0,2400.0,137,0,0,401,401,0,0
cooperative_limited,1:2,800,88,6,82,88,112,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7970.0,0.0,7970.0,0.0,0.0,0,0,267,267,267,0,0,0,99143.0,90004.0,189147.0,53903.0,201.88389513108615,47,108,107113.0,90004.0,197117.0,401,0,267,533,400,401,401,0,0.22277777777777777,134.39900249376558,53894.0,0,267.1147132169576,107113.0,queue,3,1800.0,600.0,2400.0,145,0,0,401,401,0,0
cooperative_limited,1:2,800,89,6,83,89,108,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7898.0,0.0,7898.0,0.0,0.0,0,0,267,267,267,0,0,0,99230.0,91444.0,190674.0,54072.0,202.51685393258427,46,107,107128.0,91444.0,198572.0,401,0,267,533,400,401,401,0,0.22277777777777777,134.81047381546134,54059.0,0,267.15211970074813,107128.0,queue,4,1800.0,600.0,2400.0,144,0,0,401,401,0,0
cooperative_limited,1:2,800,87,6,81,87,124,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7954.0,0.0,7954.0,0.0,0.0,0,0,267,267,267,0,0,0,96451.0,76941.0,173392.0,50986.0,190.95880149812734,40,96,104405.0,76941.0,181346.0,401,0,267,533,400,401,401,0,0.22277777777777777,127.12219451371571,50976.0,0,260.3615960099751,104405.0,queue,5,1800.0,600.0,2400.0,129,0,0,401,401,0,0
ramp_fixed_4s,1:2,800,0,0,0,0,0,4.0,0,0.0,0.0,251,134,134,134,0,0,0,7851.0,0.0,7851.0,0.0,0.0,0,0,267,267,240,27,0,27,103294.0,88325.0,191619.0,44609.0,167.0749063670412,40,102,111145.0,88325.0,199470.0,401,0,267,533,400,401,374,27,0.20777777777777778,119.21657754010695,44587.0,27,286.5187165775401,107158.0,breakdown,1,1800.0,600.0,2400.0,127,27,0,401,401,0,0
ramp_fixed_4s,1:2,800,0,0,0,0,0,4.0,0,0.0,0.0,249,134,134,134,0,0,0,7832.0,0.0,7832.0,0.0,0.0,0,0,267,267,236,31,0,31,103948.0,88107.0,192055.0,45356.0,169.87265917602997,44,100,111780.0,88107.0,199887.0,401,0,267,533,400,401,370,31,0.20555555555555555,122.53243243243243,45337.0,31,290.0810810810811,107330.0,breakdown,2,1800.0,600.0,2400.0,133,31,0,401,401,0,0
