total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,cooperative_value,paired_delta
1000,1:1,4,network_time_spent_s,True,121765.0,121993.0,228.0
1000,1:1,4,insertion_wait_time_s,True,136510.0,136860.0,350.0
1000,1:1,4,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:1,4,throughput_veh_h,False,1000.0,1000.0,0.0
1000,1:1,5,total_time_spent_s,True,272663.0,265414.0,-7249.0
1000,1:1,5,network_time_spent_s,True,122964.0,122157.0,-807.0
1000,1:1,5,insertion_wait_time_s,True,149699.0,143257.0,-6442.0
1000,1:1,5,unfinished_vehicles,True,8.0,2.0,-6.0
1000,1:1,5,throughput_veh_h,False,983.9999999999999,996.0,12.000000000000114
1000,1:2,1,total_time_spent_s,True,332333.0,334943.0,2610.0
1000,1:2,1,network_time_spent_s,True,121743.0,121956.0,213.0
1000,1:2,1,insertion_wait_time_s,True,210590.0,212987.0,2397.0
1000,1:2,1,unfinished_vehicles,True,50.0,53.0,3.0
1000,1:2,1,throughput_veh_h,False,901.9999999999999,896.0,-5.999999999999886
1000,1:2,2,total_time_spent_s,True,338058.0,356975.0,18917.0
1000,1:2,2,network_time_spent_s,True,122765.0,123398.0,633.0
1000,1:2,2,insertion_wait_time_s,True,215293.0,233577.0,18284.0
1000,1:2,2,unfinished_vehicles,True,52.0,62.0,10.0
1000,1:2,2,throughput_veh_h,False,898.0,878.0,-20.0
1000,1:2,3,total_time_spent_s,True,334233.0,330875.0,-3358.0
1000,1:2,3,network_time_spent_s,True,121662.0,121921.0,259.0
1000,1:2,3,insertion_wait_time_s,True,212571.0,208954.0,-3617.0
1000,1:2,3,unfinished_vehicles,True,50.0,48.0,-2.0
1000,1:2,3,throughput_veh_h,False,901.9999999999999,905.9999999999999,4.0
1000,1:2,4,total_time_spent_s,True,341149.0,339048.0,-2101.0
1000,1:2,4,network_time_spent_s,True,122327.0,122398.0,71.0
1000,1:2,4,insertion_wait_time_s,True,218822.0,216650.0,-2172.0
1000,1:2,4,unfinished_vehicles,True,54.0,55.0,1.0
1000,1:2,4,throughput_veh_h,False,894.0,892.0,-2.0
1000,1:2,5,total_time_spent_s,True,345554.0,333362.0,-12192.0
1000,1:2,5,network_time_spent_s,True,121722.0,121394.0,-328.0
1000,1:2,5,insertion_wait_time_s,True,223832.0,211968.0,-11864.0
1000,1:2,5,unfinished_vehicles,True,60.0,55.0,-5.0
1000,1:2,5,throughput_veh_h,False,882.0,892.0,10.0
1000,1:3,1,total_time_spent_s,True,330315.0,318653.0,-11662.0
1000,1:3,1,network_time_spent_s,True,119145.0,118724.0,-421.0
1000,1:3,1,insertion_wait_time_s,True,211170.0,199929.0,-11241.0
1000,1:3,1,unfinished_vehicles,True,50.0,38.0,-12.0
1000,1:3,1,throughput_veh_h,False,900.0,924.0,24.0
1000,1:3,2,total_time_spent_s,True,341474.0,342239.0,765.0
1000,1:3,2,network_time_spent_s,True,119810.0,119951.0,141.0
1000,1:3,2,insertion_wait_time_s,True,221664.0,222288.0,624.0
1000,1:3,2,unfinished_vehicles,True,53.0,53.0,0.0
1000,1:3,2,throughput_veh_h,False,894.0,894.0,0.0
1000,1:3,3,total_time_spent_s,True,348431.0,330933.0,-17498.0
1000,1:3,3,network_time_spent_s,True,119755.0,119466.0,-289.0
1000,1:3,3,insertion_wait_time_s,True,228676.0,211467.0,-17209.0
1000,1:3,3,unfinished_vehicles,True,60.0,47.0,-13.0
1000,1:3,3,throughput_veh_h,False,880.0,905.9999999999999,25.999999999999886
1000,1:3,4,total_time_spent_s,True,336292.0,317044.0,-19248.0
1000,1:3,4,network_time_spent_s,True,118440.0,117820.0,-620.0
1000,1:3,4,insertion_wait_time_s,True,217852.0,199224.0,-18628.0
1000,1:3,4,unfinished_vehicles,True,56.0,38.0,-18.0
1000,1:3,4,throughput_veh_h,False,888.0,924.0,36.0
1000,1:3,5,total_time_spent_s,True,343590.0,345108.0,1518.0
1000,1:3,5,network_time_spent_s,True,119174.0,119323.0,149.0
1000,1:3,5,insertion_wait_time_s,True,224416.0,225785.0,1369.0
1000,1:3,5,unfinished_vehicles,True,56.0,61.0,5.0
1000,1:3,5,throughput_veh_h,False,888.0,878.0,-10.0
1000,1:4,1,total_time_spent_s,True,243773.0,328053.0,84280.0
1000,1:4,1,network_time_spent_s,True,111608.0,118067.0,6459.0
1000,1:4,1,insertion_wait_time_s,True,132165.0,209986.0,77821.0
1000,1:4,1,unfinished_vehicles,True,0.0,41.0,41.0
1000,1:4,1,throughput_veh_h,False,1000.0,918.0,-82.0
1000,1:4,2,total_time_spent_s,True,264027.0,325992.0,61965.0
1000,1:4,2,network_time_spent_s,True,112593.0,117454.0,4861.0
1000,1:4,2,insertion_wait_time_s,True,151434.0,208538.0,57104.0
1000,1:4,2,unfinished_vehicles,True,0.0,38.0,38.0
1000,1:4,2,throughput_veh_h,False,1000.0,924.0,-76.0
1000,1:4,3,total_time_spent_s,True,242143.0,334589.0,92446.0
1000,1:4,3,network_time_spent_s,True,110047.0,118155.0,8108.0
