main_veh_h,side_veh_h,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s
800,800,800,410,390,0.22777777777777777,42.62926829268293,17478.0,390,105.91463414634147,43425.0,breakdown,42,1800.0
800,1000,900,417,483,0.23166666666666666,51.68585131894484,21553.0,483,117.29976019184652,48914.0,breakdown,42,1800.0
1000,50,525,506,19,0.2811111111111111,5.051383399209486,2556.0,19,65.80434782608695,33297.0,breakdown,42,1800.0
1000,100,550,509,41,0.2827777777777778,23.229862475442044,11824.0,41,85.49312377210217,43516.0,breakdown,42,1800.0
1000,200,600,505,95,0.28055555555555556,28.354455445544556,14319.0,95,91.66138613861386,46289.0,breakdown,42,1800.0
1000,400,700,506,194,0.2811111111111111,38.12252964426877,19290.0,194,102.04347826086956,51634.0,breakdown,42,1800.0
1000,600,800,501,299,0.2783333333333333,26.055888223552895,13054.0,299,88.18562874251496,44181.0,breakdown,42,1800.0
1000,800,900,506,394,0.2811111111111111,42.40316205533597,21456.0,394,107.23517786561264,54261.0,breakdown,42,1800.0
1000,1000,1000,504,496,0.28,29.851190476190474,15045.0,496,91.84126984126983,46288.0,breakdown,42,1800.0
1200,50,625,597,28,0.33166666666666667,6.968174204355109,4160.0,28,68.71189279731993,41021.0,breakdown,42,1800.0
1200,100,650,602,48,0.33444444444444443,15.757475083056478,9486.0,48,78.15946843853821,47052.0,breakdown,42,1800.0
1200,200,700,594,106,0.33,23.343434343434343,13866.0,106,86.06902356902357,51125.0,breakdown,42,1800.0
1200,400,800,597,203,0.33166666666666667,27.12897822445561,16196.0,203,90.35343383584589,53941.0,breakdown,42,1800.0
1200,600,900,597,303,0.33166666666666667,24.241206030150753,14472.0,303,88.51591289782245,52844.0,breakdown,42,1800.0
1200,800,1000,596,404,0.33111111111111113,21.48489932885906,12805.0,404,83.83221476510067,49964.0,breakdown,42,1800.0
1200,1000,1100,600,500,0.3333333333333333,26.981666666666666,16189.0,500,90.11,54066.0,breakdown,42,1800.0
1400,50,725,693,32,0.385,4.965367965367966,3441.0,32,67.78066378066379,46972.0,breakdown,42,1800.0
1400,100,750,692,58,0.3844444444444444,14.794797687861271,10238.0,58,78.1878612716763,54106.0,breakdown,42,1800.0
1400,200,800,693,107,0.385,20.71861471861472,14358.0,107,84.62770562770562,58647.0,breakdown,42,1800.0
1400,400,900,697,203,0.38722222222222225,25.929698708751793,18073.0,203,91.18794835007174,63558.0,breakdown,42,1800.0
1400,600,1000,695,305,0.3861111111111111,22.52517985611511,15655.0,305,86.91223021582734,60404.0,breakdown,42,1800.0
1400,800,1100,697,403,0.38722222222222225,26.55093256814921,18506.0,403,91.2180774748924,63579.0,breakdown,42,1800.0
1400,1000,1200,694,506,0.38555555555555554,23.564841498559076,16354.0,506,87.35014409221903,60621.0,breakdown,42,1800.0
1600,50,825,785,40,0.4361111111111111,9.33248407643312,7326.0,40,73.36815286624204,57594.0,breakdown,42,1800.0
1600,100,850,791,59,0.43944444444444447,15.513274336283185,12271.0,59,80.07838179519595,63342.0,breakdown,42,1800.0
1600,200,900,784,116,0.43555555555555553,14.933673469387756,11708.0,116,79.84056122448979,62595.0,breakdown,42,1800.0
1600,400,1000,791,209,0.43944444444444447,22.13527180783818,17509.0,209,87.56510745891276,69264.0,breakdown,42,1800.0
