main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
200,450,325,325,325,0,0.18055555555555555,35.85846153846154,11654.0,0,117.11076923076924,38061.0,queue,1,1800.0,600.0,2400.0,18,0,0,325,325,0,0
200,450,325,325,325,0,0.18055555555555555,20.54769230769231,6678.0,0,93.62769230769231,30429.0,queue,2,1800.0,600.0,2400.0,13,0,0,325,325,0,0
200,450,325,325,325,0,0.18055555555555555,19.09846153846154,6207.0,0,91.30153846153846,29673.0,queue,3,1800.0,600.0,2400.0,16,0,0,325,325,0,0
200,450,325,325,325,0,0.18055555555555555,18.864615384615384,6131.0,0,90.18153846153847,29309.0,queue,4,1800.0,600.0,2400.0,15,0,0,325,325,0,0
200,450,325,325,325,0,0.18055555555555555,33.46769230769231,10877.0,0,114.07384615384615,37074.0,queue,5,1800.0,600.0,2400.0,19,0,0,325,325,0,0
200,500,350,350,350,0,0.19444444444444445,66.26,23191.0,0,176.8,61880.0,queue,1,1800.0,600.0,2400.0,35,0,0,350,350,0,0
200,500,350,350,350,0,0.19444444444444445,88.74285714285715,31060.0,0,214.05428571428573,74919.0,queue,2,1800.0,600.0,2400.0,49,0,0,350,350,0,0
200,500,350,350,350,0,0.19444444444444445,40.20285714285714,14071.0,0,128.24857142857144,44887.0,queue,3,1800.0,600.0,2400.0,27,0,0,350,350,0,0
200,500,350,350,350,0,0.19444444444444445,27.382857142857144,9584.0,0,106.37428571428572,37231.0,queue,4,1800.0,600.0,2400.0,24,0,0,350,350,0,0
200,500,350,350,350,0,0.19444444444444445,56.285714285714285,19700.0,0,155.5,54425.0,queue,5,1800.0,600.0,2400.0,37,0,0,350,350,0,0
200,550,375,376,376,0,0.2088888888888889,74.83510638297872,28138.0,0,195.59840425531914,73545.0,queue,1,1800.0,600.0,2400.0,61,0,0,376,376,0,0
200,550,375,376,376,0,0.2088888888888889,87.75531914893617,32996.0,0,220.2154255319149,82801.0,queue,2,1800.0,600.0,2400.0,72,0,0,376,376,0,0
200,550,375,376,376,0,0.2088888888888889,72.42287234042553,27231.0,0,204.8404255319149,77020.0,queue,3,1800.0,600.0,2400.0,45,0,0,376,376,0,0
200,550,375,376,376,0,0.2088888888888889,67.56914893617021,25406.0,0,200.27393617021278,75303.0,queue,4,1800.0,600.0,2400.0,38,0,0,376,376,0,0
200,550,375,376,376,0,0.2088888888888889,82.37765957446808,30974.0,0,216.23138297872342,81303.0,queue,5,1800.0,600.0,2400.0,63,0,0,376,376,0,0
200,600,400,400,400,0,0.2222222222222222,72.7475,29099.0,0,206.58,82632.0,queue,1,1800.0,600.0,2400.0,67,0,0,400,400,0,0
200,600,400,400,400,0,0.2222222222222222,74.77,29908.0,0,213.3225,85329.0,queue,2,1800.0,600.0,2400.0,72,0,0,400,400,0,0
200,600,400,400,400,0,0.2222222222222222,79.305,31722.0,0,221.16,88464.0,queue,3,1800.0,600.0,2400.0,75,0,0,400,400,0,0
200,600,400,400,400,0,0.2222222222222222,82.5575,33023.0,0,229.2325,91693.0,queue,4,1800.0,600.0,2400.0,73,0,0,400,400,0,0
200,600,400,400,400,0,0.2222222222222222,89.1775,35671.0,0,226.1725,90469.0,queue,5,1800.0,600.0,2400.0,89,0,0,400,400,0,0
200,650,425,426,426,0,0.23666666666666666,89.55164319248826,38149.0,0,234.26525821596243,99797.0,queue,1,1800.0,600.0,2400.0,116,0,0,426,426,0,0
200,650,425,426,426,0,0.23666666666666666,93.50234741784037,39832.0,0,233.49765258215962,99470.0,queue,2,1800.0,600.0,2400.0,126,0,0,426,426,0,0
200,650,425,426,426,0,0.23666666666666666,87.98356807511738,37481.0,0,237.19248826291079,101044.0,queue,3,1800.0,600.0,2400.0,116,0,0,426,426,0,0
200,650,425,426,426,0,0.23666666666666666,81.69014084507042,34800.0,0,232.5305164319249,99058.0,queue,4,1800.0,600.0,2400.0,100,0,0,426,426,0,0
200,650,425,426,426,0,0.23666666666666666,83.59624413145539,35612.0,0,231.70657276995306,98707.0,queue,5,1800.0,600.0,2400.0,98,0,0,426,426,0,0
200,700,450,450,450,0,0.25,82.23333333333333,37005.0,0,228.17555555555555,102679.0,queue,1,1800.0,600.0,2400.0,129,0,0,450,450,0,0
200,700,450,450,450,0,0.25,84.47555555555556,38014.0,0,229.43555555555557,103246.0,queue,2,1800.0,600.0,2400.0,132,0,0,450,450,0,0
200,700,450,450,450,0,0.25,83.08444444444444,37388.0,0,233.08666666666667,104889.0,queue,3,1800.0,600.0,2400.0,141,0,0,450,450,0,0
200,700,450,450,450,0,0.25,82.12444444444445,36956.0,0,229.64444444444445,103340.0,queue,4,1800.0,600.0,2400.0,131,0,0,450,450,0,0
200,700,450,450,450,0,0.25,81.24888888888889,36562.0,0,226.62444444444444,101981.0,queue,5,1800.0,600.0,2400.0,131,0,0,450,450,0,0
200,750,475,475,475,0,0.2638888888888889,64.19578947368421,30493.0,0,216.11157894736843,102653.0,queue,1,1800.0,600.0,2400.0,133,0,0,475,475,0,0
200,750,475,475,475,0,0.2638888888888889,77.51157894736842,36818.0,0,228.4463157894737,108512.0,queue,2,1800.0,600.0,2400.0,153,0,0,475,475,0,0
200,750,475,475,475,0,0.2638888888888889,75.92,36062.0,0,221.89894736842106,105402.0,queue,3,1800.0,600.0,2400.0,148,0,0,475,475,0,0
200,750,475,475,475,0,0.2638888888888889,88.28421052631579,41935.0,0,231.30315789473684,109869.0,queue,4,1800.0,600.0,2400.0,177,0,0,475,475,0,0
200,750,475,475,475,0,0.2638888888888889,77.27578947368421,36706.0,0,223.66105263157894,106239.0,queue,5,1800.0,600.0,2400.0,155,0,0,475,475,0,0
200,800,500,500,500,0,0.2777777777777778,73.308,36654.0,0,223.216,111608.0,queue,1,1800.0,600.0,2400.0,178,0,0,500,500,0,0
200,800,500,500,500,0,0.2777777777777778,76.53,38265.0,0,225.186,112593.0,queue,2,1800.0,600.0,2400.0,183,0,0,500,500,0,0
200,800,500,500,500,0,0.2777777777777778,70.766,35383.0,0,220.094,110047.0,queue,3,1800.0,600.0,2400.0,172,0,0,500,500,0,0
200,800,500,500,500,0,0.2777777777777778,70.612,35306.0,0,218.488,109244.0,queue,4,1800.0,600.0,2400.0,163,0,0,500,500,0,0
200,800,500,500,500,0,0.2777777777777778,68.744,34372.0,0,217.376,108688.0,queue,5,1800.0,600.0,2400.0,163,0,0,500,500,0,0
200,805,502,503,503,0,0.27944444444444444,79.51888667992047,39998.0,0,223.34990059642146,112345.0,queue,1,1800.0,600.0,2400.0,190,0,0,503,503,0,0
200,805,502,503,500,3,0.2777777777777778,79.854,39927.0,3,226.046,113023.0,breakdown,2,1800.0,600.0,2400.0,190,3,0,503,503,0,0
200,805,502,503,503,0,0.27944444444444444,76.441351888668,38450.0,0,223.831013916501,112587.0,queue,3,1800.0,600.0,2400.0,186,0,0,503,503,0,0
200,805,502,503,503,0,0.27944444444444444,75.0079522862823,37729.0,0,221.5328031809145,111431.0,queue,4,1800.0,600.0,2400.0,183,0,0,503,503,0,0
200,805,502,503,503,0,0.27944444444444444,68.73558648111332,34574.0,0,218.0178926441352,109663.0,queue,5,1800.0,600.0,2400.0,167,0,0,503,503,0,0
200,810,505,506,506,0,0.2811111111111111,68.65810276679842,34741.0,0,218.8102766798419,110718.0,queue,1,1800.0,600.0,2400.0,173,0,0,506,506,0,0
200,810,505,506,506,0,0.2811111111111111,73.49604743083005,37189.0,0,222.3102766798419,112489.0,queue,2,1800.0,600.0,2400.0,183,0,0,506,506,0,0
200,810,505,506,506,0,0.2811111111111111,64.36561264822134,32569.0,0,215.39525691699606,108990.0,queue,3,1800.0,600.0,2400.0,160,0,0,506,506,0,0
